epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,420.137,2.06673,3.07131,1.47703,0.52726,0.12312,0.09494,0.04577,1.96281,2.61927,1.58969,0.000120193,0.000120193,0.000120193
43,430.1,2.02119,3.08433,1.47158,0.50907,0.11937,0.09055,0.04398,1.95833,2.59976,1.58553,0.000119735,0.000119735,0.000119735
44,440.045,2.03236,3.0411,1.48436,0.53819,0.13364,0.09944,0.04745,1.94956,2.57972,1.59844,0.000119276,0.000119276,0.000119276
45,450.004,2.06512,3.04112,1.49924,0.55269,0.12796,0.09678,0.04758,1.94396,2.59543,1.58903,0.000118817,0.000118817,0.000118817
46,459.934,1.9903,2.9364,1.45596,0.53507,0.12546,0.10161,0.05095,1.91856,2.56803,1.57946,0.000118359,0.000118359,0.000118359
47,469.957,2.05122,3.02279,1.47593,0.53773,0.13891,0.10094,0.0506,1.93228,2.52551,1.57436,0.0001179,0.0001179,0.0001179
48,479.972,2.01042,2.93799,1.45751,0.62411,0.12736,0.09927,0.04993,1.90561,2.50392,1.56637,0.000117441,0.000117441,0.000117441
49,489.975,2.01774,2.94542,1.44385,0.55607,0.13294,0.10174,0.05129,1.93051,2.5081,1.57109,0.000116982,0.000116982,0.000116982
50,499.998,1.97911,2.82608,1.45064,0.53739,0.13514,0.10413,0.05205,1.92338,2.49001,1.56103,0.000116524,0.000116524,0.000116524
51,510.015,2.02139,2.89032,1.4539,0.45634,0.13197,0.10552,0.04908,1.92749,2.46701,1.56435,0.000116065,0.000116065,0.000116065
52,520.009,2.01253,2.81329,1.45126,0.52225,0.13227,0.10659,0.05246,1.91443,2.48259,1.5558,0.000115606,0.000115606,0.000115606
53,530.062,2.00177,2.84302,1.43423,0.54878,0.13094,0.10837,0.05463,1.91973,2.44501,1.55211,0.000115148,0.000115148,0.000115148
54,540.1,1.95712,2.76794,1.42491,0.53778,0.13583,0.1098,0.05422,1.88972,2.45154,1.55179,0.000114689,0.000114689,0.000114689
55,550.147,1.96947,2.78554,1.42213,0.56214,0.12422,0.10799,0.05321,1.89932,2.44932,1.54247,0.00011423,0.00011423,0.00011423
56,560.119,1.98166,2.7884,1.42214,0.60204,0.12927,0.11891,0.05858,1.89502,2.38832,1.54105,0.000113771,0.000113771,0.000113771
57,570.089,1.95013,2.74521,1.42633,0.60241,0.13447,0.11824,0.05712,1.88963,2.36831,1.5437,0.000113313,0.000113313,0.000113313
58,580.054,1.95988,2.70617,1.44114,0.51698,0.13774,0.11244,0.05696,1.87301,2.35648,1.53592,0.000112854,0.000112854,0.000112854
59,590.002,1.9562,2.65629,1.40625,0.54163,0.12648,0.10983,0.05667,1.85412,2.37789,1.51481,0.000112395,0.000112395,0.000112395
60,599.987,1.94845,2.5822,1.40522,0.65324,0.13844,0.11603,0.05796,1.88992,2.35657,1.52463,0.000111937,0.000111937,0.000111937
61,609.917,1.95041,2.63278,1.40798,0.58829,0.14247,0.11618,0.05687,1.86738,2.39452,1.52105,0.000111478,0.000111478,0.000111478
62,619.872,1.90571,2.54431,1.4061,0.59031,0.14126,0.11155,0.05365,1.8837,2.36843,1.52723,0.000111019,0.000111019,0.000111019
63,629.804,1.95081,2.65578,1.41722,0.585,0.1443,0.11753,0.05832,1.8816,2.3763,1.52596,0.000110561,0.000110561,0.000110561
64,639.736,1.92388,2.61076,1.40693,0.51839,0.13423,0.12928,0.06401,1.86145,2.34033,1.52306,0.000110102,0.000110102,0.000110102
65,649.675,1.91719,2.53295,1.42806,0.61061,0.131,0.11838,0.06036,1.87325,2.29811,1.51677,0.000109643,0.000109643,0.000109643
66,659.614,1.90307,2.50063,1.36833,0.61782,0.14052,0.13051,0.06224,1.90244,2.33686,1.52696,0.000109184,0.000109184,0.000109184
67,669.556,1.91177,2.50116,1.3902,0.62207,0.14326,0.14106,0.07087,1.85529,2.25454,1.50522,0.000108726,0.000108726,0.000108726
68,679.522,1.90788,2.47516,1.38183,0.63478,0.14059,0.13018,0.06581,1.85134,2.32407,1.49512,0.000108267,0.000108267,0.000108267
69,689.424,1.88602,2.4311,1.39542,0.66397,0.13504,0.1392,0.07048,1.85709,2.24538,1.50297,0.000107808,0.000107808,0.000107808
70,699.34,1.90933,2.45823,1.39369,0.63683,0.13706,0.13283,0.06971,1.82403,2.23946,1.48571,0.00010735,0.00010735,0.00010735
71,709.251,1.9,2.52391,1.37135,0.57903,0.14345,0.1368,0.06969,1.84327,2.25435,1.4841,0.000106891,0.000106891,0.000106891
72,719.2,1.87209,2.43561,1.36976,0.72039,0.13583,0.1476,0.07539,1.81285,2.21386,1.4836,0.000106432,0.000106432,0.000106432
73,729.135,1.86294,2.39928,1.38391,0.64616,0.13965,0.13916,0.0717,1.82952,2.24076,1.4904,0.000105974,0.000105974,0.000105974
74,739.067,1.88565,2.4173,1.39418,0.56127,0.14999,0.1436,0.07522,1.8203,2.20702,1.47977,0.000105515,0.000105515,0.000105515
75,748.979,1.85079,2.31338,1.3573,0.64059,0.13648,0.14313,0.07437,1.85319,2.22464,1.49299,0.000105056,0.000105056,0.000105056
